nodes,communities
johnspatricc,1
scrowder,5
dawnellemurray,4
PatrickRuffini,5
WORIDSTARHIPHOP,3
TPoliticmanager,4
ManUtdUpdates_,1
RedState,5
RBPundit,5
SenSanders,3
charlescwcooke,5
BostonGlobe,3
FillWerrell,3
Kasparov63,5
AJDelgado13,4
DepressedDarth,5
WashTimes,4
MikePenceVP,4
adamjohnsonNYC,3
azizansari,2
RiotWomennn,2
JoeMyGod,2
RevoltPolitic,3
loopzoop,3
Jessthesav,3
HAGOODMANAUTHOR,3
cool_as_heck,2
dovorah001,4
ConstanceQueen8,4
ditzkoff,2
BenHowe,5
nycjim,2
kausmickey,4
nprpolitics,2
ChrisLoesch,5
KevinMKruse,2
MikeElChingon,3
RMConservative,5
GuerrillaDems,3
TheAtlantic,2
HeHasntTweeted,2
PattonDivision,4
abedelrey,3
peaceandjoy101,4
RT_America,3
ukbushlover69,1
Green_Footballs,2
20committee,5
costareports,2
megynkelly,5
Zedd,3
ThisWeekABC,2
Dlw20161950,5
PhilipRucker,2
MarkSimoneNY,4
zaynmalik,3
Breaking911,4
Khanoisseur,2
KatyinIndy,5
RosemryS,4
MissLizzyNJ,4
krautsider,2
urfavandtrump,3
musicnews_shade,3
SykesCharlie,5
JackJackJohnson,3
oldstocknews,4
LodiSilverado,4
Debramax,4
EsotericCD,5
Politics_PR,2
JudgeJeanine,4
Adel__Almalki,4
EndorsementsGOP,4
rickwtyler,5
DooleyFunnyAf,1
santiagos58,4
zerohedge,4
DemsRRealRacist,4
mostawesomeblog,3
V_of_Europe,4
maxlydic,4
THR,2
SadHappyAmazing,1
KazmierskiR,4
cafedotcom,2
bakedalaska,4
NBA,1
OwensDamien,2
PizzaPartyBen,4
robdelaney,2
jonathanchait,2
MattMackowiak,5
CauseWereGuys,3
cnni,2
KatrinaNation,3
Ian56789,3
RealDonalDrumpf,2
NimbleNavgater,4
jimgeraghty,5
AlanKestrel750,2
lorischovanec,4
SavageNation,4
BB_Updates,3
CBSNews,2
paulkrugman,2
thenation,3
SusanSarandon,3
dandrezner,2
Trumpbart,5
mellberr,1
azblonde2015,4
Norsu2,5
michaelallenmar,3
lTSHARAMBE,3
SteveStfler,3
mch7576,2
ScottAdamsSays,4
alexburnsNYT,2
postpolitics,2
TheTweetOfGod,2
BenjaminNorton,3
joanwalsh,2
WPJohnWagner,3
OnlyHotyP,4
DebndanfarrDeb,4
RichardTBurnett,4
OhNo_ItsOjoh,3
GeneMcVay,4
RalstonReports,2
GovMikeHuckabee,4
ABCLiz,2
AC360,3
UberFacts,3
bcwilliams92,5
RT_com,3
ElNacionalWeb,2
Lee_in_Iowa,2
HunterHRC2016,2
SabrinaSiddiqui,2
ianbremmer,2
O_IrishT,4
vicenews,3
BettyBowers,2
brithume,5
mattdpearce,2
DaystoTrump,4
KeithOlbermann,2
TheBillyWest,2
Newsweek,2
SouthLoneStar,4
lhfang,3
IamAkademiks,3
ellencarmichael,5
theintercept,3
SkySportsNewsHQ,1
AdamParkhomenko,2
FranCifelli,4
moisturizeds,3
CATS_PAWS,3
jordansdiamonds,2
zachhaller,3
behindyourback,2
linnyitssn,2
ActualidadRT,3
RealBenCarson,4
AllKnowA,1
skaijackson,3
RussSegner,5
nickconfessore,2
JayCostTWS,5
FreddyAmazin,3
WeLoveRobDyrdek,3
atensnut,4
PoliticsPeach,3
DouthatNYT,5
chillregui,3
NicholsUprising,3
FoxBusiness,4
TUSK81,2
MazMHussain,2
fawfulfan,2
RBReich,3
goldengateblond,2
TrumpMyPres,4
WebsterGTarpley,5
periclesusa,4
LPDonovan,5
nwarikoo,2
irritatedwoman,4
mviser,2
aduanebrown,4
Powerful,3
goldietaylor,2
Thomas1774Paine,4
Bernie_Facts,3
RyanLizza,2
chucktodd,2
chelseahandler,2
GMA,3
meetthepress,5
RichLowry,5
CarolHello1,4
BubblyRobinson,3
LessGovMoreFun,4
sandiv11,4
StephenKing,2
CruzinAhead,5
SkyFootball,1
OnMessageForHer,4
saladinahmed,2
ConanOBrien,5
hansonIine,3
hrkbenowen,4
FortuneMagazine,2
DailyMail,4
InGodIDoTrust,4
KevinDarryl,2
KurtSchlichter,5
JeffreyGoldberg,2
JSavoly,2
vdare,4
SexualGif,3
Footballogue,1
ColMorrisDavis,2
GlennHeiser,3
RandPaul,4
faagifts,4
ajjaffe,5
briannaUrie,3
tharealversace,3
PhxKen,4
YourAnonNews,3
MittRomney,5
Amaka_Ekwo,3
pharris830,2
CNBCnow,2
BecketAdams,5
Reince,4
HeyTammyBruce,5
TheDonaldNews,4
myGianLuca,4
VICE,3
lordxmen2k,2
jenilynn1001,4
Shooters_Wife,5
JamesFallows,2
trumpaboard,4
rafshmatko,4
YahooNews,2
AlexConant,5
MeninistTweet,5
AlisonSpalding2,3
Hillary4Florida,2
vandives,4
Bonfiredesigns,4
TeamTrump,4
realCalvinHobbs,4
ScottPresler,4
darth,2
CommonWhiteGirI,3
NFL,1
MicRighteous,3
jiadarola,3
bennyjohnson,5
betsy_klein,5
TheFunnyVine,3
HaroldItz,2
realDrOlmo,4
mehdirhasan,2
kerpen,5
JeffersonObama,2
DRJAMESCABOT,4
ARnews1936,4
Miami4Trump,4
HotFreestyle,1
armandodkos,2
Trumptbird,4
vmpcott,5
KatrinaPierson,4
FreeAmerican100,4
ThankYouDonald,4
billboard,3
JRubinBlogger,5
xstex,3
reIatabIe,3
kwilli1046,5
CNBC,2
freddoso,5
dailykos,2
PoliticalLaughs,5
TeaPartyCat,2
bennydiego,2
lauhaim,2
ZaibatsuNews,2
OldRowOfficial,4
Pudingtane,4
FallenAngelMovi,4
JenniferJJacobs,2
littlebytesnews,5
ReaganWorld,5
GavinNewsom,2
OfficialSeanB_,1
InternetHippo,3
NahBabyNah,5
oreillyfactor,4
Writeintrump,4
LifeNewsHQ,5
TrumpStudents,4
FreeBeacon,5
NationalMemo,2
kumailn,2
chriskyleband,4
